0,0,0.33,42,0,0.31,16
50,1352,8.7,5749,67,1.31,5795
100,5024,28.29,4970,154,2.44,4985
150,10578,69.48,4127,222,5.54,4136
200,19738,105.38,5222,334,4.49,5228
250,29500,157.02,4814,387,5.13,4874
300,47391,265.71,4977,529,7.02,4993
350,57641,317.4,5016,573,7.71,5024
400,88616,470.67,4616,638,8.09,4652
450,104539,558.61,5299,695,9.01,5300
500,120770,664.1,5161,803,10.36,5174
550,145557,794.08,4900,886,10.91,4943
600,201330,1109.74,5234,957,12.13,5243
650,206784,1185.04,5176,1122,13.29,5182
700,197526,1086.21,5461,1084,13.58,5493
750,290040,1773.27,5177,1139,15.97,5188
800,324592,1907.96,5093,1324,16.08,5113
850,352971,2112.49,4820,1383,18.13,4820
900,383139,2239.67,4943,1531,18.49,4945
950,446025,2599.16,5156,1552,19.23,5157
1000,502380,3040.24,4812,1711,20.92,4818
1050,521776,3097.47,4933,1615,20.71,4939
1100,614834,3654.32,4946,1799,22.07,4956
1150,691150,4161.57,5141,1898,23.69,5149
1200,709380,4158.19,5104,1976,23.23,5105
1250,709087,4209.96,4983,2172,25.35,4986
1300,826618,4961.25,4877,2084,24.7,4884
1350,826443,4977.62,5032,2144,27.23,5038
1400,928480,5578.51,5006,2250,27.17,5015
1450,1096519,6622.88,4909,2533,29.67,4915
1500,1084455,6732.21,5126,2482,30.06,5133
1550,1173706,7093.38,5145,2761,32.08,5150
1600,1168112,7138.51,4928,2731,32.77,4930
1650,1443271,8935.42,4968,2583,32.98,4969
1700,1476943,8829.85,4931,2895,33.99,4931
1750,1517582,9158.83,5167,2936,35.54,5172
1800,1719954,10461.8,4862,2900,36.38,4863
1850,1625077,9832.85,4911,3089,35.94,4918
1900,1631188,9999.1,5087,3185,38.43,5087
1950,1801468,10767.9,5167,3284,38.44,5168
2000,1823980,10960.2,4905,3281,38.53,4911
2050,1705743,10393.5,5074,3416,39.35,5074
2100,2148006,13404,4847,3431,40.84,4851
2150,2178229,13310.1,4987,3697,43.58,4988
2200,2220790,13649,4819,3808,45.11,4826
2250,2265457,13862.1,4898,3657,44.91,4900
2300,2637571,16189.4,4966,3577,44.19,4968
2350,2577715,16007.5,4851,4095,47.75,4854
2400,2588952,15960.9,5108,4102,46.74,5108
2450,2848786,17479.8,5114,3958,47.22,5119
2500,2794150,16999.3,5061,4037,47.23,5061
2550,3081216,18927.9,4967,4393,49.78,4972
2600,2912026,17978.3,4927,4228,50.67,4932
2650,3249403,20028.4,5068,4614,54.29,5069
2700,2940948,18079.4,5112,4212,51.68,5120
2750,3416930,20938.5,4974,4610,55.87,4976
2800,3255476,19965,5075,4487,55.51,5078
2850,3540469,21732.8,4993,5025,59.95,4999
2900,3632395,22404.9,4997,5131,60.52,4998
2950,4255906,26386.2,4919,4868,59.23,4924
3000,3742920,22991.7,5143,5367,60.18,5149
3050,4427319,27277.7,4928,5190,60.22,4928
3100,4625169,28445.1,4890,5415,62.27,4893
3150,4545859,27750.3,5072,5573,65.72,5073
3200,4626304,28375,4970,5580,64.66,4971
3250,4368130,26938,4932,5318,62.98,4933
3300,4717383,28999.6,5134,5686,65.33,5134
3350,4445048,27520.5,4944,5334,67.36,4944
3400,5242086,31946.7,5038,5962,67.9,5047
3450,5087542,30987.4,5081,5783,66.41,5084
3500,5385590,33016,4897,5737,67.83,4897
3550,5623271,34332.4,4924,6493,72.62,4934
3600,6491376,39689.5,5038,6491,73.59,5043
3650,5830291,35696.2,5067,6150,74.84,5067
3700,5893508,36495.2,4990,6668,75.07,4991
3750,6488775,39723.6,5049,6202,72.25,5052
3800,6509780,39991.9,5020,6640,75.08,5021
3850,6645677,40807,5039,6250,74.06,5040
3900,6083493,37110,5036,6761,79.86,5036
3950,6723966,41586.4,5004,6754,80.1,5005
4000,6615920,40386.1,4968,6777,77.5,4969
4050,7072920,43443.5,4930,7004,77.79,4931
4100,7633708,46745.4,4893,7037,79.24,4895
4150,7617657,46581,4921,7185,81.33,4924
4200,7432320,45866.3,5019,7134,85.62,5022
4250,6778962,41315,4919,6680,79.54,4923
4300,7703106,47278.7,5124,7390,84.43,5130
4350,7423275,45623.1,5015,7168,86.53,5016
4400,9130704,55855.4,4892,7292,88.04,4892
4450,9414197,58057.5,4960,7993,88.99,4961
4500,9398475,57491.3,4971,7432,87.52,4972
4550,8932378,54723.3,5077,7726,86.05,5078
4600,9487362,57910.1,4920,7389,85.95,4922
4650,8590224,52305.6,4868,7838,90.96,4870
4700,9093936,55646,4960,7629,93.98,4961
4750,10028532,60879.9,4980,7409,90.03,4980
4800,9380400,57603.3,4964,8310,96.91,4964
4850,9291872,56882.2,5024,8251,94.67,5028
4900,10983203,67680.2,5046,8157,94.73,5047
4950,10837579,66973.5,4868,8118,96.35,4868
5000,10138300,62682.1,5012,8615,101.68,5015
5050,10721705,66057.5,5147,8882,102.56,5149
5100,9670875,59435.5,5069,8569,100.58,5070
5150,10262714,63425.7,4975,7985,98.81,4976
5200,10901020,66867.6,5043,8762,102.04,5045
5250,11775645,72215,5010,8491,100.69,5016
5300,11576896,71524.8,4958,8773,105.19,4959
5350,12772804,78346.4,5103,9349,105.37,5107
5400,11925252,73417.5,5014,9303,105,5015
5450,12425073,76022.9,5043,8998,105.34,5044
5500,12280510,75340.2,5051,9336,109.78,5052
5550,11960805,73348.7,4974,9870,109.78,4975
5600,14077784,86163.6,4939,9210,107.42,4939
5650,13651812,83954.3,4942,9866,112.95,4944
5700,13943055,85669.6,4905,9673,114.01,4906
5750,13602372,83480.5,5008,9876,114.52,5008
5800,12800252,78815.4,4963,9559,113.72,4965
5850,13186192,80472.2,4917,9824,113.02,4917
5900,14029256,85676.4,5002,9855,114.1,5002
5950,15132278,93341.3,4998,10059,116.39,5003
6000,14729820,89967.2,4976,10373,122.37,4984
6050,16538582,101150,4916,9962,117.86,4919
6100,15810468,97256.9,4941,10507,122.28,4941
6150,14985705,92166.8,5014,10695,121.53,5018
6200,15647002,96324.5,4935,9909,117.99,4938
6250,15602750,96066.3,4997,10513,120.63,4998
6300,15337980,94490.1,5060,9888,117.4,5062
6350,15239936,93884.5,4945,10901,125.96,4946
6400,14643136,90203.1,4928,10696,126.67,4932
6450,17736790,108660,5030,10906,125.68,5030
6500,18138575,111515,4941,10493,125.57,4942
6550,17383700,106643,4988,10910,130.03,4990
6600,17323218,106825,5090,10601,125.14,5090
6650,15709228,96914,4997,11394,128.91,4997
6700,18724490,114857,5001,11246,127.41,5001
6750,19565280,120335,4968,10846,131.2,4968
6800,18325864,112599,5028,11033,126.5,5032
6850,16982588,104392,4891,12679,138.66,4892
6900,18916488,116659,4979,11916,136.27,4986
6950,19708184,120928,4910,11919,137.66,4913
7000,19491850,119629,4951,11444,132.38,4952
7050,20817663,127451,5035,12298,138.9,5038
7100,20787806,127804,5074,12159,138.26,5075
7150,23142762,141191,4920,12108,137.55,4921
7200,19921248,121323,4998,12057,136.43,5003
